"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","CATTLE, COWS, BEEF - INVENTORY  -  <b>VALUE</b>","CATTLE, COWS, BEEF - INVENTORY  -  <b>CV (%)</b>","CATTLE, COWS, MILK - INVENTORY  -  <b>VALUE</b>","CATTLE, COWS, MILK - INVENTORY  -  <b>CV (%)</b>","CATTLE, INCL CALVES - INVENTORY  -  <b>VALUE</b>","CATTLE, INCL CALVES - INVENTORY  -  <b>CV (%)</b>"
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","","99","OTHER COUNTIES","","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","1,274,000","","57,300","","",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","BLACKLANDS","40","BELL","027","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED"," (D)",""," (D)","","37,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","BLACKLANDS","40","BOSQUE","035","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","23,500","","","","52,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","BLACKLANDS","40","COLLIN","085","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","17,400","","","","42,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","BLACKLANDS","40","COOKE","097","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED"," (D)",""," (D)","","86,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","BLACKLANDS","40","CORYELL","099","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","25,500","","","","55,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","BLACKLANDS","40","DALLAS","113","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","3,600","","","","8,800",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","BLACKLANDS","40","DELTA","119","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","8,400","","","","19,300",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","BLACKLANDS","40","DENTON","121","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","22,500","","","","39,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","BLACKLANDS","40","ELLIS","139","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","28,000",""," (D)","","51,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","BLACKLANDS","40","FALLS","145","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED"," (D)",""," (D)","","115,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","BLACKLANDS","40","FANNIN","147","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","38,500","","","","76,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","BLACKLANDS","40","GRAYSON","181","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","29,000","","200","","54,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","BLACKLANDS","40","HAMILTON","193","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","26,000","","9,800","","67,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","BLACKLANDS","40","HILL","217","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED"," (D)",""," (D)","","61,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","BLACKLANDS","40","HUNT","231","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","34,500","","","","62,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","BLACKLANDS","40","JOHNSON","251","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","28,000","","4,200","","64,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","BLACKLANDS","40","KAUFMAN","257","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","30,000","","","","82,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","BLACKLANDS","40","LAMAR","277","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED"," (D)",""," (D)","","90,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","BLACKLANDS","40","LIMESTONE","293","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","36,000","","400","","79,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","BLACKLANDS","40","MCLENNAN","309","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","35,500","","3,400","","87,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","BLACKLANDS","40","MILAM","331","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED"," (D)",""," (D)","","81,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","BLACKLANDS","40","NAVARRO","349","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED"," (D)",""," (D)","","83,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","BLACKLANDS","40","ROCKWALL","397","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","2,600","","","","4,300",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","BLACKLANDS","40","TARRANT","439","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED"," (D)",""," (D)","","13,300",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","BLACKLANDS","40","WILLIAMSON","491","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","33,000","","","","80,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","COASTAL BEND","82","ARANSAS","007","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","900","","","","2,800",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","COASTAL BEND","82","KLEBERG","273","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","15,800","","","","28,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","COASTAL BEND","82","NUECES","355","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","7,200","","","","10,500",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","COASTAL BEND","82","REFUGIO","391","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","14,500","","","","27,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","COASTAL BEND","82","SAN PATRICIO","409","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","6,300","","","","15,700",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","CROSS TIMBERS","30","ARCHER","009","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","21,000","","7,500","","80,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","CROSS TIMBERS","30","BROWN","049","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","21,500","","2,800","","47,500",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","CROSS TIMBERS","30","CALLAHAN","059","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","26,500","","","","50,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","CROSS TIMBERS","30","CLAY","077","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","34,000","","1,700","","78,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","CROSS TIMBERS","30","COMANCHE","093","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","38,500","","31,000","","120,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","CROSS TIMBERS","30","EASTLAND","133","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","23,500","","100","","44,500",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","CROSS TIMBERS","30","ERATH","143","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","41,000","","64,000","","185,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","CROSS TIMBERS","30","HOOD","221","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","12,800","","","","22,500",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","CROSS TIMBERS","30","JACK","237","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","19,800","","","","38,500",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","CROSS TIMBERS","30","MILLS","333","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED"," (D)",""," (D)","","34,500",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","CROSS TIMBERS","30","MONTAGUE","337","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","35,000","","400","","82,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","CROSS TIMBERS","30","PALO PINTO","363","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","21,500","","","","43,500",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","CROSS TIMBERS","30","PARKER","367","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED"," (D)",""," (D)","","73,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","CROSS TIMBERS","30","SHACKELFORD","417","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","15,400","","","","30,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","CROSS TIMBERS","30","SOMERVELL","425","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","3,900","","","","7,400",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","CROSS TIMBERS","30","STEPHENS","429","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","12,600","","","","23,500",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","CROSS TIMBERS","30","THROCKMORTON","447","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","17,400","","","","42,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","CROSS TIMBERS","30","WISE","497","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","40,500","","100","","82,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","CROSS TIMBERS","30","YOUNG","503","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED"," (D)",""," (D)","","38,500",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","EAST TEXAS NORTH","51","ANDERSON","001","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","33,000","","","","66,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","EAST TEXAS NORTH","51","BOWIE","037","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","30,500","","2,400","","64,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","EAST TEXAS NORTH","51","CAMP","063","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED"," (D)",""," (D)","","21,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","EAST TEXAS NORTH","51","CASS","067","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","13,900","","","","24,500",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","EAST TEXAS NORTH","51","CHEROKEE","073","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED"," (D)",""," (D)","","55,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","EAST TEXAS NORTH","51","FRANKLIN","159","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","13,000","","4,400","","35,500",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","EAST TEXAS NORTH","51","GREGG","183","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","5,000","","","","8,500",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","EAST TEXAS NORTH","51","HARRISON","203","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","16,100","","","","28,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","EAST TEXAS NORTH","51","HENDERSON","213","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED"," (D)",""," (D)","","60,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","EAST TEXAS NORTH","51","HOPKINS","223","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","47,000","","28,000","","125,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","EAST TEXAS NORTH","51","HOUSTON","225","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","42,500","","","","70,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","EAST TEXAS NORTH","51","MARION","315","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","2,800","","","","4,800",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","EAST TEXAS NORTH","51","MORRIS","343","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","10,300","","","","16,100",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","EAST TEXAS NORTH","51","NACOGDOCHES","347","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED"," (D)",""," (D)","","34,500",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","EAST TEXAS NORTH","51","PANOLA","365","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED"," (D)",""," (D)","","31,500",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","EAST TEXAS NORTH","51","RAINS","379","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","11,600","","2,700","","25,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","EAST TEXAS NORTH","51","RED RIVER","387","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","40,500","","","","92,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","EAST TEXAS NORTH","51","RUSK","401","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","25,000","","100","","41,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","EAST TEXAS NORTH","51","SHELBY","419","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED"," (D)",""," (D)","","44,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","EAST TEXAS NORTH","51","SMITH","423","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","26,000","","","","44,500",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","EAST TEXAS NORTH","51","TITUS","449","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","18,100","","","","29,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","EAST TEXAS NORTH","51","UPSHUR","459","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","23,000","","3,300","","51,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","EAST TEXAS NORTH","51","VAN ZANDT","467","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","43,500","","8,400","","90,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","EAST TEXAS NORTH","51","WOOD","499","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","24,500","","3,100","","45,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","EAST TEXAS SOUTH","52","ANGELINA","005","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","11,200","","","","19,500",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","EAST TEXAS SOUTH","52","BRAZOS","041","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","30,500",""," (D)","","64,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","EAST TEXAS SOUTH","52","FREESTONE","161","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","36,000","","","","70,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","EAST TEXAS SOUTH","52","GRIMES","185","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED"," (D)",""," (D)","","58,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","EAST TEXAS SOUTH","52","HARDIN","199","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","5,200","","","","8,100",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","EAST TEXAS SOUTH","52","JASPER","241","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","7,500","","","","14,400",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","EAST TEXAS SOUTH","52","LEON","289","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED"," (D)",""," (D)","","98,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","EAST TEXAS SOUTH","52","MADISON","313","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","29,000","","","","46,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","EAST TEXAS SOUTH","52","MONTGOMERY","339","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","11,600","","","","18,400",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","EAST TEXAS SOUTH","52","NEWTON","351","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","2,700","","","","4,300",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","EAST TEXAS SOUTH","52","POLK","373","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","9,100","","","","13,300",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","EAST TEXAS SOUTH","52","ROBERTSON","395","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED"," (D)",""," (D)","","95,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","EAST TEXAS SOUTH","52","SABINE","403","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","5,000","","","","11,600",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","EAST TEXAS SOUTH","52","SAN AUGUSTINE","405","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","6,700","","","","10,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","EAST TEXAS SOUTH","52","SAN JACINTO","407","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","8,900","","","","14,300",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","EAST TEXAS SOUTH","52","TRINITY","455","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","12,500","","","","19,700",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","EAST TEXAS SOUTH","52","TYLER","457","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED"," (D)",""," (D)","","14,200",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","EAST TEXAS SOUTH","52","WALKER","471","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","21,500","","","","38,500",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","EAST TEXAS SOUTH","52","WALLER","473","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","30,500","","","","48,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","EDWARDS PLATEAU","70","BANDERA","019","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","5,400","","","","9,200",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","EDWARDS PLATEAU","70","BLANCO","031","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","11,000","","","","19,400",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","EDWARDS PLATEAU","70","BURNET","053","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","16,500","","","","27,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","EDWARDS PLATEAU","70","COKE","081","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","9,000","","","","14,600",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","EDWARDS PLATEAU","70","CONCHO","095","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","11,800","","","","28,500",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","EDWARDS PLATEAU","70","CROCKETT","105","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","10,000","","","","17,700",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","EDWARDS PLATEAU","70","EDWARDS","137","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","9,300","","","","14,900",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","EDWARDS PLATEAU","70","GILLESPIE","171","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED"," (D)",""," (D)","","47,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","EDWARDS PLATEAU","70","IRION","235","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","6,700","","","","13,700",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","EDWARDS PLATEAU","70","KENDALL","259","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","8,700","","","","16,800",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","EDWARDS PLATEAU","70","KERR","265","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","6,800","","","","12,200",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","EDWARDS PLATEAU","70","KIMBLE","267","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","8,200","","","","15,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","EDWARDS PLATEAU","70","KINNEY","271","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","6,100","","","","11,300",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","EDWARDS PLATEAU","70","LAMPASAS","281","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED"," (D)",""," (D)","","28,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","EDWARDS PLATEAU","70","LLANO","299","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","19,700","","","","36,500",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","EDWARDS PLATEAU","70","MASON","319","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","20,500","","","","38,500",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","EDWARDS PLATEAU","70","MCCULLOCH","307","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","16,200","","","","31,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","EDWARDS PLATEAU","70","MENARD","327","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","10,000","","","","16,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","EDWARDS PLATEAU","70","REAGAN","383","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","6,900","","","","22,500",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","EDWARDS PLATEAU","70","REAL","385","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","1,500","","","","2,400",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","EDWARDS PLATEAU","70","SAN SABA","411","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","25,500","","","","56,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","EDWARDS PLATEAU","70","SCHLEICHER","413","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","10,900","","","","18,500",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","EDWARDS PLATEAU","70","STERLING","431","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","7,300","","","","13,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","EDWARDS PLATEAU","70","SUTTON","435","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","8,000","","","","13,500",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","EDWARDS PLATEAU","70","TOM GREEN","451","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED"," (D)",""," (D)","","40,500",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","EDWARDS PLATEAU","70","UPTON","461","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED"," (D)",""," (D)","","4,700",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","EDWARDS PLATEAU","70","UVALDE","463","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED"," (D)",""," (D)","","43,500",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","EDWARDS PLATEAU","70","VAL VERDE","465","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","5,800","","","","9,300",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","LOWER VALLEY","97","CAMERON","061","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","8,600","","","","13,500",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","LOWER VALLEY","97","HIDALGO","215","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","16,500","","","","30,500",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","LOWER VALLEY","97","STARR","427","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED"," (D)",""," (D)","","46,000",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","LOWER VALLEY","97","WILLACY","489","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","6,100","","","","10,800",""
"SURVEY","2022","FIRST OF JAN","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","ARMSTRONG","011","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED"," (D)",""," (D)","","33,000",""
