"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","COTTON, UPLAND - ACRES HARVESTED  -  <b>VALUE</b>","COTTON, UPLAND - ACRES HARVESTED  -  <b>CV (%)</b>","COTTON, UPLAND - ACRES PLANTED  -  <b>VALUE</b>","COTTON, UPLAND - ACRES PLANTED  -  <b>CV (%)</b>","COTTON, UPLAND - PRODUCTION, MEASURED IN 480 LB BALES  -  <b>VALUE</b>","COTTON, UPLAND - PRODUCTION, MEASURED IN 480 LB BALES  -  <b>CV (%)</b>","COTTON, UPLAND - YIELD, MEASURED IN LB / ACRE  -  <b>VALUE</b>","COTTON, UPLAND - YIELD, MEASURED IN LB / ACRE  -  <b>CV (%)</b>"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","","99","OTHER COUNTIES","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","190,390","0.4","240,000","0.4","292,260","1.8","737","1.8"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","BELL","027","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","3,820","1.8","4,100","1.8","8,100","8.6","1,018","8.6"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","ELLIS","139","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","5,310","0.9","10,700","0.9","10,800","5.5","976","5.4"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","HILL","217","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","12,800","0.6","13,200","0.1","28,600","2.7","1,073","2.7"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","MCLENNAN","309","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","6,420","0.4","6,700","0.1","18,500","4","1,383","4"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","MILAM","331","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","8,680","0.7","8,900","0.1","18,800","3.7","1,040","3.7"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","NAVARRO","349","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","12,800","0.2","14,700","0.1","22,000","5.7","825","5.7"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","WILLIAMSON","491","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","7,860","0.4","8,200","0.1","18,700","5.1","1,142","5.1"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","COASTAL BEND","82","KLEBERG","273","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","36,600","0.2","45,200","0","60,900","1.8","799","1.8"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","COASTAL BEND","82","NUECES","355","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","127,600","0.2","136,000","0","273,100","4.2","1,027","4.2"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","COASTAL BEND","82","REFUGIO","391","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","44,600","0.4","46,500","0","78,000","7.4","839","7.5"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","COASTAL BEND","82","SAN PATRICIO","409","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","100,600","0.2","108,000","0","225,000","3.6","1,074","3.6"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","CROSS TIMBERS","30","EASTLAND","133","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","2,440","4.4","2,500","4.4","3,500","6.7","689","6.7"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","CROSS TIMBERS","30","YOUNG","503","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","1,130","10.7","1,200","10.7","700","9.3","297","9.3"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","EAST TEXAS SOUTH","52","BRAZOS","041","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","9,100","0.3","9,800","0.1","19,000","7.8","1,002","7.7"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","EAST TEXAS SOUTH","52","ROBERTSON","395","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","13,300","0.7","13,500","0.1","28,000","7.8","1,011","7.9"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","EDWARDS PLATEAU","70","CONCHO","095","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","34,400","0.2","37,500","0","40,000","6.7","558","6.7"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","EDWARDS PLATEAU","70","MCCULLOCH","307","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","11,600","0.7","11,900","0.1","11,200","4.9","463","4.9"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","EDWARDS PLATEAU","70","REAGAN","383","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","44,500","0.4","46,200","0","72,100","15.4","778","15.4"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","EDWARDS PLATEAU","70","SCHLEICHER","413","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","10,500","0.2","12,200","0.1","11,500","5.5","526","5.5"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","EDWARDS PLATEAU","70","TOM GREEN","451","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","101,400","0.4","105,000","0","155,200","3.6","735","3.6"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","EDWARDS PLATEAU","70","UPTON","461","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","14,400","0.2","16,000","0.1","17,300","6.3","577","6.3"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","EDWARDS PLATEAU","70","UVALDE","463","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","13,200","0.3","14,000","0.1","35,000","11.7","1,273","11.6"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","LOWER VALLEY","97","CAMERON","061","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","47,100","0.2","63,100","0","75,000","3.5","764","3.5"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","LOWER VALLEY","97","HIDALGO","215","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","31,400","0.2","45,600","0","62,700","3.4","958","3.4"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","LOWER VALLEY","97","WILLACY","489","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","48,000","0.2","70,600","0","83,300","3.1","833","3.1"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","BRISCOE","045","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","25,700","0.2","40,800","0","34,000","7.7","635","7.7"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","CARSON","065","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","53,200","0.2","61,900","0","90,000","10.6","812","10.6"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","CASTRO","069","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","21,200","0.2","45,900","0","31,700","5","718","5"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","DEAF SMITH","117","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","14,500","0.2","16,400","0.1","25,200","4.2","834","4.2"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","FLOYD","153","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","177,400","0.2","192,000","0","292,200","6.2","791","6.1"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","GRAY","179","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","21,800","0.2","25,400","0","34,300","4.6","755","4.6"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","HALE","189","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","178,700","0.2","219,000","0","260,000","4","698","4"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","HANSFORD","195","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","34,400","0.3","36,400","0","63,000","9.9","879","9.9"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","HARTLEY","205","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","25,400","0.2","28,000","0","38,600","22.2","729","22.2"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","HUTCHINSON","233","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","14,000","0.2","16,500","0.1","20,500","8.8","703","8.8"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","MOORE","341","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","25,000","0.2","26,700","0","50,000","10.2","960","10.2"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","OCHILTREE","357","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","26,800","0.2","31,200","0","48,000","13.3","860","13.3"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","OLDHAM","359","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","3,160","0.4","3,500","0.3","4,240","7.8","644","7.8"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","PARMER","369","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","29,900","0.2","48,900","0","53,400","7.8","857","7.8"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","RANDALL","381","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","8,170","0.2","8,900","0.1","10,600","9","623","9"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","SHERMAN","421","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","25,800","0.2","28,800","0","48,300","2.8","899","2.8"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","NORTHERN HIGH PLAINS","11","SWISHER","437","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","76,500","0.2","97,500","0","91,300","3.4","573","3.4"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","NORTHERN LOW PLAINS","21","BORDEN","033","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","40,900","0.5","42,100","0","40,600","5.9","476","5.9"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","NORTHERN LOW PLAINS","21","CHILDRESS","075","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","48,100","0.2","53,700","0","43,100","6.8","430","6.8"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","NORTHERN LOW PLAINS","21","COLLINGSWORTH","087","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","64,800","0.5","68,700","0","98,100","17.2","727","16.9"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","NORTHERN LOW PLAINS","21","COTTLE","101","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","22,800","0.2","31,700","0.1","14,800","6.9","312","5.8"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","NORTHERN LOW PLAINS","21","DICKENS","125","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","33,800","0.5","34,800","0","33,500","6.2","476","6.2"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","NORTHERN LOW PLAINS","21","DONLEY","129","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","12,500","0.2","13,400","0.1","21,000","10.6","806","10.6"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","NORTHERN LOW PLAINS","21","GARZA","169","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","44,800","0.3","47,400","0","66,200","4.4","709","4.4"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","NORTHERN LOW PLAINS","21","HALL","191","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","74,500","0.2","79,600","0","95,000","13.5","612","13.5"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","NORTHERN LOW PLAINS","21","HARDEMAN","197","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","13,400","0.2","15,800","0.1","23,800","6.8","853","6.8"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","NORTHERN LOW PLAINS","21","MOTLEY","345","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","19,200","0.2","22,300","0.1","19,900","7.4","498","7.5"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","NORTHERN LOW PLAINS","21","WHEELER","483","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","11,000","0.4","11,400","0.1","14,400","4.9","628","5"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","NORTHERN LOW PLAINS","21","WICHITA","485","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","13,100","0.3","13,900","0.1","15,100","6.6","553","6.7"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","NORTHERN LOW PLAINS","21","WILBARGER","487","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","29,700","0.2","31,900","0.1","35,400","12.9","572","12.9"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","SOUTH CENTRAL","81","AUSTIN","015","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","2,450","0.5","2,700","0.4","6,200","6.7","1,215","6.7"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","SOUTH CENTRAL","81","BEE","025","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","15,100","0.2","16,200","0.1","34,300","8.1","1,090","8.1"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","SOUTH CENTRAL","81","BURLESON","051","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","10,800","0.5","11,100","0.1","19,000","7.3","844","7.4"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","SOUTH CENTRAL","81","CALDWELL","055","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","3,900","0.8","4,000","0.3","6,200","9.1","763","9.1"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","SOUTH CENTRAL","81","MEDINA","325","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","11,300","0.2","13,300","0.1","30,000","5.6","1,274","5.6"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","SOUTH CENTRAL","81","WASHINGTON","477","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","470","1.5","500","1.4","700","4.7","715","11.3"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","SOUTH TEXAS","96","ATASCOSA","013","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","3,030","0.8","3,100","0.4","7,000","7.1","1,109","7.1"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","SOUTH TEXAS","96","FRIO","163","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","5,860","0.7","6,000","0.2","15,700","8.8","1,286","8.8"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","SOUTH TEXAS","96","JIM WELLS","249","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","12,900","0.2","27,900","0","23,000","5","856","5"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","SOUTHERN HIGH PLAINS","12","BAILEY","017","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","51,800","0.2","80,200","0","63,500","5.2","588","5.2"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","SOUTHERN HIGH PLAINS","12","COCHRAN","079","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","64,000","0.2","138,500","0","71,300","8.3","535","8.3"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","SOUTHERN HIGH PLAINS","12","CROSBY","107","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","206,500","0.2","220,000","0","294,000","3.7","683","3.7"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","SOUTHERN HIGH PLAINS","12","DAWSON","115","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","289,000","0.2","317,000","0","355,400","2.4","590","2.4"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","SOUTHERN HIGH PLAINS","12","GAINES","165","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","282,000","0.2","316,000","0","368,100","7.2","627","7.1"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","SOUTHERN HIGH PLAINS","12","GLASSCOCK","173","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","104,500","0.6","108,500","0","164,300","5.3","755","5.2"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","SOUTHERN HIGH PLAINS","12","HOCKLEY","219","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","246,000","0.2","276,000","0","307,800","5.9","601","5.9"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","SOUTHERN HIGH PLAINS","12","HOWARD","227","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","129,000","0.6","133,500","0","127,400","12.1","474","12"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","SOUTHERN HIGH PLAINS","12","LAMB","279","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","126,100","0.2","176,500","0","153,700","5.3","585","5.3"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","SOUTHERN HIGH PLAINS","12","LUBBOCK","303","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","240,500","0.2","261,000","0","400,900","4.7","800","4.7"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","SOUTHERN HIGH PLAINS","12","LYNN","305","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","337,500","0.5","347,500","0.1","425,200","4.9","605","4.9"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","SOUTHERN HIGH PLAINS","12","MARTIN","317","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","157,500","0.2","167,500","0","160,100","4.2","488","4.2"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","SOUTHERN HIGH PLAINS","12","MIDLAND","329","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","22,500","1.3","23,700","1.2","22,700","9.6","484","9.6"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","SOUTHERN HIGH PLAINS","12","TERRY","445","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","242,000","0.2","271,000","0","294,900","6.2","585","6.2"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","SOUTHERN HIGH PLAINS","12","YOAKUM","501","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","102,400","0.2","146,000","0","106,600","14.2","500","14.2"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","SOUTHERN LOW PLAINS","22","COLEMAN","083","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","6,710","7.7","7,100","7.7","6,400","12.9","458","12.9"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","SOUTHERN LOW PLAINS","22","FISHER","151","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","96,100","0.5","98,800","0.2","62,100","7.8","310","7.8"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","SOUTHERN LOW PLAINS","22","HASKELL","207","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","75,900","0.3","79,400","0.1","63,100","3.1","399","3.1"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","SOUTHERN LOW PLAINS","22","JONES","253","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","71,000","0.5","74,400","0.1","61,200","12.3","414","12.2"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","SOUTHERN LOW PLAINS","22","KNOX","275","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","15,700","1.1","17,100","1.1","27,500","9.1","841","9.1"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","SOUTHERN LOW PLAINS","22","MITCHELL","335","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","47,000","0.4","49,600","0.1","37,800","6.5","386","6.3"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","SOUTHERN LOW PLAINS","22","NOLAN","353","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","52,300","0.6","53,800","0.1","66,400","4.5","609","4.5"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","SOUTHERN LOW PLAINS","22","RUNNELS","399","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","72,300","0.3","76,000","0.1","91,900","2.3","610","2.3"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","SOUTHERN LOW PLAINS","22","SCURRY","415","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","71,100","0.4","74,000","0.1","59,800","5.1","404","5.1"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","SOUTHERN LOW PLAINS","22","STONEWALL","433","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","10,300","3.4","10,600","3.3","8,000","8.8","373","8.8"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","SOUTHERN LOW PLAINS","22","TAYLOR","441","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","18,300","0.8","20,200","0.8","25,400","21.1","666","21.1"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","UPPER COAST","90","CALHOUN","057","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","19,700","0.2","21,500","0","43,000","4.4","1,048","4.4"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","UPPER COAST","90","FORT BEND","157","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","33,300","0.4","34,800","0","52,100","2.7","751","2.7"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","UPPER COAST","90","JACKSON","239","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","38,300","0.3","40,200","0","61,000","9.9","764","9.9"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","UPPER COAST","90","MATAGORDA","321","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","36,900","0.2","46,600","0","53,500","3.8","696","3.8"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","UPPER COAST","90","VICTORIA","469","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","21,200","0.5","21,900","0.1","30,000","6.3","679","6.3"
"SURVEY","2021","YEAR","","COUNTY","TEXAS","48","UPPER COAST","90","WHARTON","481","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","66,600","0.3","70,500","0","107,300","3.8","773","3.8"
